Hajj Company (Arabic),Hajj Company (English),formattedAddress,City,Country,email,Contact_Info,Rating Reviews,is_autorized,Google_Maps_Link,Link_Valid
›‰œﬁ Ã»· ⁄„— Ã„Ì—« «·›‰œﬁÌ…,Jabal Omar Jumeirah Hotel,"Al Shubaikah, Ibrahim Al-Khalil Road° Jabal Omar, Ash Shubaikah, Makkah 24231, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,,+966 12 556 0111,4.6 (5243 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Jabal%20Omar%20Jumeirah%20Hotel%2C%20Al%20Shubaikah%2C%20Ibrahim%20Al-Khalil%20Road%2C%20Jabal%20Omar%2C%20Ash%20Shubaikah%2C%20Makkah%2024231%2C%20Saudi%20Arabia,TRUE
„‰Ÿ„ Œœ„«  «·ÕÃ ··÷ÌÊ›,Hajj Services Company for External Hajj Guests,,Ãœ…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,,+966 555421021,4.9 (172 reviews),Yes,,FALSE
„ƒ””… ⁄»œ«··Â »‰ Õ„œ »‰ ⁄»œ«··Â «·⁄—«ÃÂ ·Œœ„«  «·ÕÃ«Ã,Al-Arajah Foundation for Domestic Pilgrims Service,"3051 ÿ—Ìﬁ «·„·ﬂ ›Âœ° «·Œ«·œÌ… «·“·›Ì 15941 8985 ÿ—Ìﬁ «·„·ﬂ ›Âœ° 8985, Al Khalidiyah, Az Zilfi 15941, Saudi Arabia",«·“·›Ì,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,3zoo3387@gmail.com,+966 16 422 0964,3.7 (65 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Al-Arajah%20Foundation%20for%20Domestic%20Pilgrims%20Service%2C%203051%20%D8%B7%D8%B1%D9%8A%D9%82%20%D8%A7%D9%84%D9%85%D9%84%D9%83%20%D9%81%D9%87%D8%AF%2C%20%D8%A7%D9%84%D8%AE%D8%A7%D9%84%D8%AF%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B2%D9%84%D9%81%D9%8A%2015941%208985%20%D8%B7%D8%B1%D9%8A%D9%82%20%D8%A7%D9%84%D9%85%D9%84%D9%83%20%D9%81%D9%87%D8%AF%2C%208985%2C%20Al%20Khalidiyah%2C%20Az%20Zilfi%2015941%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… «·ÂÃ—… «·⁄—»Ì… «·„ÕœÊœÂ,ALHEJRA LOCAL HAJJ COMPANY,"Sari Br Rd, Al Faisaliyyah, Jeddah 23447, Saudi Arabia",Ãœ…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,ALHEJRA2019@GMAIL.COM,+966 55 514 7415,3.5 (54 reviews),Yes,https://www.google.com/maps/search/?api=1&query=ALHEJRA%20LOCAL%20HAJJ%20COMPANY%2C%20Sari%20Br%20Rd%2C%20Al%20Faisaliyyah%2C%20Jeddah%2023447%2C%20Saudi%20Arabia,TRUE
‘—ﬂÂ «·„Â«»Â ·Œœ„«  ÕÃ«Ã «·œ«Œ· «·„ÕœÊœÂ,AL MAHABA COMPANY FOR HAJJ,"3190 ﬁ—Ì‘° 6173° Ãœ…°, «·”·«„…° Ãœ… 23524, Saudi Arabia",«·ÿ«∆›,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,ALMAHBA@OUTLOOK.COM,+966 12 283 2424,4 (409 reviews),Yes,https://www.google.com/maps/search/?api=1&query=AL%20MAHABA%20COMPANY%20FOR%20HAJJ%2C%203190%20%D9%82%D8%B1%D9%8A%D8%B4%2C%206173%2C%20%D8%AC%D8%AF%D8%A9%2C%2C%20%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85%D8%A9%2C%20%D8%AC%D8%AF%D8%A9%2023524%2C%20Saudi%20Arabia,TRUE
›‰œﬁ ‰Ê›Ê Ì· –«Œ— «·›‰œﬁÌ…,Karam THAKHER Hotels for Pilgrims Services,"Dist° Al Andalus, Makkah 24237, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,CEO@KaramThakher.sa,+966 12 561 9999,4.2 (7302 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Karam%20THAKHER%20Hotels%20for%20Pilgrims%20Services%2C%20Dist%2C%20Al%20Andalus%2C%20Makkah%2024237%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… ÿÌ—«‰ ‰«”,Flynas,"6 Abi Bakr As Siddiq Rd, Ar Rabi, Unit No 8018, Riyadh 13317, Saudi Arabia",«·—Ì«÷,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,CSHajj@flynas.com,+966 9200 01234,3.1 (1794 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Flynas%2C%206%20Abi%20Bakr%20As%20Siddiq%20Rd%2C%20Ar%20Rabi%2C%20Unit%20No%208018%2C%20Riyadh%2013317%2C%20Saudi%20Arabia,TRUE
›‰œﬁ Ã»· ⁄„— ÕÌ«… —ÌÃ‰”Ì,Jabal Omar Hyatt Regency Hotel,"Ibrahim Al Khalil Rd, Ash Shubaikah, Makkah 21955, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,Hayattregensy@jodc.com.sa,+966 12 577 1234,4.4 (18037 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Jabal%20Omar%20Hyatt%20Regency%20Hotel%2C%20Ibrahim%20Al%20Khalil%20Rd%2C%20Ash%20Shubaikah%2C%20Makkah%2021955%2C%20Saudi%20Arabia,TRUE
›‰œﬁ Ã»· ⁄„— „«—ÌÊ ,Jabal Omar Marriott Hotel,"Umm Al Qura, Ash Shubaikah, Makkah 21955, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,Marriott@jodc.com.sa,+966 12 529 6666,4.3 (9209 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Jabal%20Omar%20Marriott%20Hotel%2C%20Umm%20Al%20Qura%2C%20Ash%20Shubaikah%2C%20Makkah%2021955%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… —Õ·«  Ê„‰«›⁄ ··”Ì«Õ… ‘—ﬂ… ‘Œ’ Ê«Õœ,Rehlat w manafaa,"Oum Al Jood, An Nuzhah, Makkah 24225, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,Tbt.co@arbhaj.com,+966 9200 32130,4.5 (16 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Rehlat%20w%20manafaa%2C%20Oum%20Al%20Jood%2C%20An%20Nuzhah%2C%20Makkah%2024225%2C%20Saudi%20Arabia,TRUE
„ƒ””… ⁄ÿ««··Â „ÃÊ· «·Â–·Ì ·Œœ„«  «·ÕÃ«Ã,Atallah Majwal Al-Hathali Foundation for Pilgrims Services,,Jeddah,Saudi Arabia,aa1656@hotmail.com,,5 (3 reviews),Yes,,FALSE
›‰œﬁ „ﬂ«—„ «ÃÌ«œ „ﬂ…,Makarem Ajyad Hotels,"Dist, 6699 Hamzah Bin Abdulmuttaleb, Ajyad, Makkah 24231, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,abdullah.alqalai@Makarem.sa,+966 12 572 0500,4.7 (29272 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Makarem%20Ajyad%20Hotels%2C%20Dist%2C%206699%20Hamzah%20Bin%20Abdulmuttaleb%2C%20Ajyad%2C%20Makkah%2024231%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… «·„‘«⁄—«·„ ÕœÂ ·Œœ„«  ÕÃ«Ã «·œ«Œ· «·„ÕœÊœ… ‘—ﬂ… ‘Œ’ Ê«Õœ,ALMAHAER ALMUTAHEDA FOR HAJJ,"3739 ÿ—Ìﬁ 44 («·ﬁ’— «·„·ﬂÌ)° 8106, Al Mashair, Makkah 24247, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,abusarhadumrah@gmail.com,+966 9200 08076,3.4 (5 reviews),Yes,https://www.google.com/maps/search/?api=1&query=ALMAHAER%20ALMUTAHEDA%20FOR%20HAJJ%2C%203739%20%D8%B7%D8%B1%D9%8A%D9%82%2044%20%D8%A7%D9%84%D9%82%D8%B5%D8%B1%20%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A%2C%208106%2C%20Al%20Mashair%2C%20Makkah%2024247%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… ›‰œﬁ «»—«Ã ‘—ﬂ… „ﬂÂ «·›‰œﬁÌ… ‘—ﬂ… ‘Œ’ Ê«Õœ,MCDC Hajj & Umrah,"CR9F+H8C, Al Haram, Makkah 24231, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,admin.hajj@mcdchajj.com,+966 12 537 3800,4.9 (5984 reviews),Yes,"https://www.google.com/maps/place/CR9F+H8C,+Al+Haram,+Makkah+24231,+Saudi+Arabia",TRUE
›‰œﬁ Ã»· ⁄„— «·⁄‰Ê«‰ «·›‰œﬁÌ…,Jabal Omar Hotel Address Hotel,"7123 Prince Mohammed Bin Salman Road, 3472 Ash Shubaikah, CRC9+JG Dist, «·‘»Ìﬂ…° Jabal Omar, „ﬂ… 24231, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,adress@jodc.com.sa,+966 12 553 1444,4.6 (14335 reviews),Yes,"https://www.google.com/maps/place/7123+Prince+Mohammed+Bin+Salman+Road,+3472+Ash+Shubaikah,+CRC9+JG+Dist,+«·‘»Ìﬂ…,+Jabal+Omar,+„ﬂ…+24231,+Saudi+Arabia",TRUE
‘—ﬂ… √ŒÊ«‰ «·”⁄ÊœÌ… ·Œœ„«  ÕÃ«Ã «·œ«Œ· «·„ÕœÊœ…,SAUDI BROTHERS COMPANY FOR INTERNAL PILGRIMS SERVI,"H596+763° Al Rowdah Dist.° Ãœ… 23434, Saudi Arabia",Ãœ…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,ahmed.alsuhaqi@saudibrothers.com,+966 12 660 9189,3.7 (64 reviews),Yes,"https://www.google.com/maps/place/H596+763,+Al+Rowdah+Dist.,+Ãœ…+23434,+Saudi+Arabia",TRUE
